STAR:010,2,SIPS5E,RW03,SIPSI,ES,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,KSD,ES,D, , , , , ;
STAR:020,2,SIPS5E,RW03,D195P,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,SIPS5E,RW03,D195M,ES,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,SIPS5E,RW03,CF03,ES,P,C,EE  , ,   ,CF, ,KSD,ES,D, ,      ,2000,0091,0210,0040,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,SIPS5F,RW21,SIPSI,ES,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,KSD,ES,D, , , , , ;
STAR:020,2,SIPS5F,RW21,D195P,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,SIPS5F,RW21,D195M,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,SIPS5F,RW21, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0150,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,2,SIPS5F,RW21,D032K,ES,P,C,EY  ,L,   ,AF, ,KSD,ES,D, ,      ,0320,0110,1950,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,2,SIPS5F,RW21,CF21,ES,P,C,EE  , ,   ,CF, ,KSD,ES,D, ,      ,0213,0095,2010,0020,+,02500,     ,     ,-,210,    ,   , , , , , , , , ;
STAR:010,5,TESD1K,RW03,TESDI,ES,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   ,ESOK,ES,P,A, , , , ;
STAR:020,5,TESD1K,RW03,OK549,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,TESD1K,RW03,OK711,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,TESD1K,RW03,SOVAS,ES,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     ,-,210,    ,   , , , , , , , , ;
